,Real,Edge,Fog,Cloud
0,222.24183351104722,6.0,456.0,0.0
1,222.24183351104722,6.0,456.0,0.0
2,254.2184163269021,6.0,456.0,0.0
3,189.27026667283735,6.0,456.0,0.0
4,188.34066662467245,6.0,456.0,0.0
5,193.6201000316976,6.0,456.0,0.0
6,184.3860499328117,22.5,470.0,257.5
7,193.27095013955366,22.5,470.0,257.5
8,189.1683001824971,22.5,470.0,257.5
9,187.96660008103208,22.5,470.0,257.5
10,185.73414995643984,22.5,470.0,257.5
11,279.9283000201549,22.5,470.0,257.5
12,277.21513342649814,22.5,470.0,257.5
13,301.91000001191634,22.5,470.0,257.5
14,306.3156000089627,22.5,470.0,257.5
15,307.0250999106146,22.5,470.0,257.5
16,306.35650005501077,22.5,470.0,257.5
17,309.07970005114356,22.5,470.0,257.5
18,306.1445998678157,22.5,470.0,257.5
19,305.3312500791885,22.5,470.0,257.5
20,306.1025999881654,22.5,470.0,257.5
21,287.76605013424137,22.5,470.0,257.5
22,290.0664999569805,22.5,470.0,257.5
23,280.20196663756667,22.5,470.0,257.5
24,290.85850017302926,22.5,470.0,257.5
25,281.4126000511096,22.5,470.0,257.5
26,277.25234978913414,22.5,470.0,257.5
27,283.89479980207466,22.5,470.0,257.5
28,280.3878000971798,22.5,470.0,257.5
29,279.70855027060753,22.5,470.0,257.5
30,278.0158999895056,22.5,470.0,257.5
31,265.1124499731282,22.5,470.0,257.5
32,257.09380036021685,22.5,470.0,257.5
33,251.07585000641643,22.5,470.0,257.5
34,252.81120010494718,22.5,470.0,257.5
35,259.7179998583733,22.5,470.0,257.5
36,261.1322999574987,22.5,470.0,257.5
37,260.616700211391,22.5,470.0,257.5
38,258.10730016763813,22.5,470.0,257.5
39,259.0014000413426,22.5,470.0,257.5
40,262.66340007618635,22.5,470.0,257.5
41,238.3177499742802,22.5,470.0,257.5
42,236.26760018546406,22.5,470.0,257.5
43,232.97389998928384,22.5,470.0,257.5
44,234.468600285644,22.5,470.0,257.5
45,232.40465023006917,22.5,470.0,257.5
46,235.6477001901067,22.5,470.0,257.5
47,233.04689995607114,22.5,470.0,257.5
48,235.21370010204848,22.5,470.0,257.5
49,235.48050023275667,22.5,470.0,257.5
50,234.83325015728576,22.5,470.0,257.5
51,273.43504991528,22.5,470.0,257.5
52,269.43500027367423,22.5,470.0,257.5
53,283.70100019100994,22.5,470.0,257.5
54,282.1885500100177,22.5,470.0,257.5
55,279.8182999728041,22.5,470.0,257.5
56,290.3423999744288,22.5,470.0,257.5
57,277.2127835064425,22.5,470.0,257.5
58,283.9083498281965,22.5,470.0,257.5
59,282.7290999077261,22.5,470.0,257.5
60,284.8964505135304,22.5,470.0,257.5
61,282.0304503758424,22.5,470.0,257.5
62,277.31365019762706,22.5,470.0,257.5
63,281.04013337392047,22.5,470.0,257.5
64,282.6509499200262,22.5,470.0,257.5
65,290.80059970545295,22.5,470.0,257.5
66,277.62029999955837,22.5,470.0,257.5
67,275.9067000400956,22.5,470.0,257.5
68,279.0048500866829,22.5,470.0,257.5
69,283.73419996913196,22.5,470.0,257.5
70,285.6580999287613,22.5,470.0,257.5
71,336.92620028444964,22.5,470.0,257.5
72,336.414083257796,22.5,470.0,257.5
73,357.0257003831557,22.5,470.0,257.5
74,357.5378498072034,22.5,470.0,257.5
75,351.4343333613927,22.5,470.0,257.5
76,359.5030499671657,22.5,470.0,257.5
77,354.62446696888543,22.5,470.0,257.5
78,356.78485011442734,22.5,470.0,257.5
79,357.14205007952734,22.5,470.0,257.5
80,354.1412332658261,22.5,470.0,257.5
81,420.2768832971169,22.5,470.0,257.5
82,450.66931664064356,22.5,470.0,257.5
83,446.5002005743513,22.5,470.0,257.5
84,448.0577002232766,22.5,470.0,257.5
85,442.68844998537,22.5,470.0,257.5
86,452.1105666578533,22.5,470.0,257.5
87,448.42503360756945,22.5,470.0,257.5
88,440.4857498648983,22.5,470.0,257.5
89,446.5181498102127,22.5,470.0,257.5
90,448.79719961539945,22.5,470.0,257.5
91,429.7142163230691,22.5,470.0,257.5
92,418.80729995246475,22.5,470.0,257.5
93,418.24881643617306,22.5,470.0,257.5
94,418.58026624059727,22.5,470.0,257.5
95,424.66898326682445,22.5,470.0,257.5
96,423.6794831927631,22.5,470.0,257.5
97,422.20059998981117,22.5,470.0,257.5
98,423.1671166204398,22.5,470.0,257.5
99,422.5949498877514,22.5,470.0,257.5
100,421.4346168196303,22.5,470.0,257.5
101,444.10139969179266,22.5,470.0,257.5
102,447.4620167760314,22.5,470.0,257.5
103,436.26914966466046,22.5,470.0,257.5
104,442.993166784414,22.5,470.0,257.5
105,437.5490505434782,22.5,470.0,257.5
106,442.32623266566515,22.5,470.0,257.5
107,441.6521999014995,22.5,470.0,257.5
108,445.2352498378589,22.5,470.0,257.5
109,440.90275013708805,22.5,470.0,257.5
110,447.23239994359506,22.5,470.0,257.5
111,495.52094994228315,22.5,470.0,257.5
112,483.1434000654988,22.5,470.0,257.5
113,493.9977000320342,22.5,470.0,257.5
114,493.29474980598263,22.5,470.0,257.5
115,490.1357507906072,22.5,470.0,257.5
116,490.3912996851924,22.5,470.0,257.5
117,482.54549942937535,22.5,470.0,257.5
118,487.0356496652966,22.5,470.0,257.5
119,493.43064994782145,22.5,470.0,257.5
120,488.0813000763275,22.5,470.0,257.5
