,Real,Edge,Fog,Cloud
0,191.94648339757381,235.0,143.0,0.0
1,191.94648339757381,235.0,143.0,0.0
2,213.0187163054873,235.0,143.0,0.0
3,160.33891668750314,235.0,143.0,0.0
4,160.86194998863456,235.0,143.0,0.0
5,165.42484993349393,235.0,143.0,0.0
6,154.52604994899426,190.0,480.0,80.0
7,162.84995012546025,190.0,480.0,80.0
8,159.27880015290827,190.0,480.0,80.0
9,158.80160003549986,190.0,480.0,80.0
10,155.78644997930652,190.0,480.0,80.0
11,232.41425001206107,190.0,480.0,80.0
12,230.92486679280222,190.0,480.0,80.0
13,254.631900027544,190.0,480.0,80.0
14,256.43234993412955,190.0,480.0,80.0
15,258.31819984606176,190.0,480.0,80.0
16,259.6821002409937,190.0,480.0,80.0
17,261.2133999274389,190.0,480.0,80.0
18,258.92725004493366,190.0,480.0,80.0
19,255.37505000255345,190.0,480.0,80.0
20,253.92374981543378,190.0,480.0,80.0
21,245.22455006134206,190.0,480.0,80.0
22,242.7752999638685,190.0,480.0,80.0
23,233.83436656092871,190.0,480.0,80.0
24,241.78735022788328,190.0,480.0,80.0
25,237.4628165179574,190.0,480.0,80.0
26,231.98885002168208,190.0,480.0,80.0
27,239.72809981648243,190.0,480.0,80.0
28,237.0539999338715,190.0,480.0,80.0
29,237.28706689019535,190.0,480.0,80.0
30,230.20790005158548,190.0,480.0,80.0
31,220.9549000494627,190.0,480.0,80.0
32,217.9644001747704,190.0,480.0,80.0
33,214.8199000305643,190.0,480.0,80.0
34,212.89710000909596,190.0,480.0,80.0
35,217.1858999555891,190.0,480.0,80.0
36,217.36760002167483,190.0,480.0,80.0
37,217.133050158788,190.0,480.0,80.0
38,215.71559993896605,190.0,480.0,80.0
39,218.0593500789721,190.0,480.0,80.0
40,221.5772499519328,190.0,480.0,80.0
41,203.57904994190145,190.0,480.0,80.0
42,202.8993002344411,190.0,480.0,80.0
43,196.68480010981415,190.0,480.0,80.0
44,198.17840027953338,190.0,480.0,80.0
45,195.59660015117493,190.0,480.0,80.0
46,197.8799834554993,190.0,480.0,80.0
47,196.0743501552295,190.0,480.0,80.0
48,198.11200009216688,190.0,480.0,80.0
49,196.88485014841322,190.0,480.0,80.0
50,200.36264998128593,190.0,480.0,80.0
51,229.76520004503843,190.0,480.0,80.0
52,226.45815028663077,190.0,480.0,80.0
53,238.54070018623997,190.0,480.0,80.0
54,234.88524985948297,190.0,480.0,80.0
55,236.92960014818766,190.0,480.0,80.0
56,238.98424999259052,190.0,480.0,80.0
57,238.27455000799569,190.0,480.0,80.0
58,239.2811998613522,190.0,480.0,80.0
59,238.82303340044638,190.0,480.0,80.0
60,241.83260034763956,190.0,480.0,80.0
61,240.6202834728361,190.0,480.0,80.0
62,235.72579997796527,190.0,480.0,80.0
63,239.73903346424964,190.0,480.0,80.0
64,238.59636662484752,190.0,480.0,80.0
65,239.9454998623985,190.0,480.0,80.0
66,237.15308327828444,190.0,480.0,80.0
67,234.69043356240863,190.0,480.0,80.0
68,233.2427499405873,190.0,480.0,80.0
69,241.3200999705941,190.0,480.0,80.0
70,237.99811649799878,190.0,480.0,80.0
71,284.4508001718312,190.0,480.0,80.0
72,283.1531498532482,190.0,480.0,80.0
73,296.58608348666746,190.0,480.0,80.0
74,300.871933440367,190.0,480.0,80.0
75,295.55563322327185,190.0,480.0,80.0
76,299.08954986063054,190.0,480.0,80.0
77,296.5620835369544,190.0,480.0,80.0
78,300.69746663325515,190.0,480.0,80.0
79,303.78456662819866,190.0,480.0,80.0
80,296.3665167366721,190.0,480.0,80.0
81,347.02921659158955,190.0,480.0,80.0
82,371.1375829729728,190.0,480.0,80.0
83,370.9309669685273,190.0,480.0,80.0
84,369.1117334460827,190.0,480.0,80.0
85,367.49308336884684,190.0,480.0,80.0
86,372.67661664114274,190.0,480.0,80.0
87,369.49701681619035,190.0,480.0,80.0
88,365.370866545897,190.0,480.0,80.0
89,366.20129999032287,190.0,480.0,80.0
90,371.35181640573484,190.0,480.0,80.0
91,356.0780499075164,190.0,480.0,80.0
92,347.2003667780308,190.0,480.0,80.0
93,346.9634830724852,190.0,480.0,80.0
94,347.06508326316276,190.0,480.0,80.0
95,351.64886659521216,190.0,480.0,80.0
96,351.301366667103,190.0,480.0,80.0
97,350.063799766959,190.0,480.0,80.0
98,348.360166553153,190.0,480.0,80.0
99,349.2009334524678,190.0,480.0,80.0
100,348.53303331227363,190.0,480.0,80.0
101,370.4084995885164,190.0,480.0,80.0
102,369.9423836413325,190.0,480.0,80.0
103,361.615733152595,190.0,480.0,80.0
104,367.5659002607027,190.0,480.0,80.0
105,364.56725041640044,190.0,480.0,80.0
106,367.42679949094145,190.0,480.0,80.0
107,366.8609332472902,190.0,480.0,80.0
108,365.9912001394247,190.0,480.0,80.0
109,364.9717833894054,190.0,480.0,80.0
110,371.9352998712415,190.0,480.0,80.0
111,408.80419978772557,190.0,480.0,80.0
112,399.2903000477063,190.0,480.0,80.0
113,409.23020027813885,190.0,480.0,80.0
114,407.3651997383244,190.0,480.0,80.0
115,406.156600390683,190.0,480.0,80.0
116,408.61034997731275,190.0,480.0,80.0
117,403.6536998000256,190.0,480.0,80.0
118,399.9832996500758,190.0,480.0,80.0
119,405.815249936289,190.0,480.0,80.0
120,403.20260012630536,190.0,480.0,80.0
